Season,Week,GameStatus,Day,Date,AwayTeam,AwayScore,AwayWin,HomeTeam,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason,AwayWins,AwayLosses,HomeWins,HomeLosses,FullDate,HomeRestDays,AwayRestDays,H2H_HomeWinPct,HomeRollingScore,HomeRollingDefense,AwayRollingScore,AwayRollingDefense
2020,Week 17,FINAL,SUN,01/03,Chargers,38.0,1.0,Chiefs,21.0,0.0,0.0,0.0,0,7,9,14,2,2020-01-03 00:00:00,5.0,5.0,0.5,28.6,10.4,22.6,25.4
2020,Week 17,FINAL,SUN,01/03,Packers,35.0,1.0,Bears,16.0,0.0,0.0,0.0,0,13,3,8,8,2020-01-03 00:00:00,5.0,5.0,0.5,18.4,22.0,23.6,14.2
2020,Week 17,FINAL,SUN,01/03,Vikings,37.0,1.0,Lions,35.0,0.0,0.0,0.0,0,7,9,5,11,2020-01-03 00:00:00,5.0,5.0,0.5,16.2,26.4,23.6,19.6
2020,Week 17,FINAL,SUN,01/03,Saints,33.0,1.0,Panthers,7.0,0.0,0.0,0.0,0,12,4,5,11,2020-01-03 00:00:00,5.0,5.0,0.0,16.2,35.8,37.2,22.2
2020,Week 17,FINAL,SUN,01/03,Raiders,32.0,1.0,Broncos,31.0,0.0,0.0,0.0,0,8,8,5,11,2020-01-03 00:00:00,5.0,5.0,0.5,21.4,19.8,17.0,27.0
2020,Week 17,FINAL,SUN,01/03,Jets,14.0,0.0,Patriots,28.0,1.0,0.0,0.0,0,2,14,7,9,2020-01-03 00:00:00,5.0,5.0,0.5,24.0,21.6,15.6,20.2
2020,Week 17,FINAL,SUN,01/03,Football Team,20.0,1.0,Eagles,14.0,0.0,0.0,0.0,0,7,9,4,11,2020-01-03 00:00:00,5.0,7.0,1.0,28.4,21.4,0.0,0.0
2020,Week 17,FINAL,SUN,01/03,Cowboys,19.0,0.0,Giants,23.0,1.0,0.0,0.0,0,6,10,6,10,2020-01-03 00:00:00,5.0,5.0,0.5,24.8,28.6,27.8,22.2
2024,Week 18,FINAL,SAT,01/04,Browns,10.0,0.0,Ravens,35.0,1.0,0.0,0.0,0,3,14,12,5,2024-01-04 00:00:00,4.0,7.0,0.5,33.8,17.2,28.6,24.4
2024,Week 18,FINAL,SAT,01/04,Bengals,19.0,1.0,Steelers,17.0,0.0,0.0,0.0,0,9,8,10,7,2024-01-04 00:00:00,4.0,4.0,0.5,21.0,21.8,24.6,25.6
2019,Wild Card,FINAL,SAT,01/04,Bills,19.0,0.0,Texans,22.0,1.0,5.0,4.0,1,10,6,10,6,2019-01-04 00:00:00,5.0,5.0,0.5,25.8,18.8,21.6,20.4
2019,Wild Card,FINAL,SAT,01/04,Titans,20.0,1.0,Patriots,13.0,0.0,6.0,3.0,1,9,7,12,4,2019-01-04 00:00:00,5.0,5.0,0.5,25.8,15.2,23.0,16.0
2019,Wild Card,FINAL,SUN,01/05,Seahawks,17.0,1.0,Eagles,9.0,0.0,5.0,4.0,1,11,5,9,7,2019-01-05 00:00:00,6.0,6.0,0.5,27.4,19.0,30.4,20.8
2024,Week 18,FINAL,SUN,01/05,Chiefs,0.0,0.0,Broncos,38.0,1.0,0.0,0.0,0,15,2,10,7,2024-01-05 00:00:00,5.0,5.0,0.0,19.4,21.2,20.4,20.2
2024,Week 18,FINAL,SUN,01/05,Chargers,34.0,1.0,Raiders,20.0,0.0,0.0,0.0,0,11,6,4,13,2024-01-05 00:00:00,5.0,5.0,0.5,24.0,18.4,13.0,25.4
2024,Week 18,FINAL,SUN,01/05,Dolphins,20.0,0.0,Jets,32.0,1.0,0.0,0.0,0,8,9,5,12,2024-01-05 00:00:00,8.0,5.0,0.5,17.6,22.8,28.6,23.8
2024,Week 18,FINAL,SUN,01/05,Vikings,9.0,0.0,Lions,31.0,1.0,0.0,0.0,0,14,3,15,2,2024-01-05 00:00:00,6.0,5.0,0.0,27.4,23.4,14.2,20.4
2024,Week 18,FINAL,SUN,01/05,Saints,19.0,0.0,Buccaneers,27.0,1.0,0.0,0.0,0,5,12,10,7,2024-01-05 00:00:00,5.0,5.0,0.5,25.4,19.6,25.0,17.6
2024,Week 18,FINAL,SUN,01/05,49ers,24.0,0.0,Cardinals,47.0,1.0,0.0,0.0,0,6,11,8,9,2024-01-05 00:00:00,5.0,5.0,0.5,23.6,30.0,32.2,21.4
2018,Wild Card,FINAL,SAT,01/05,Colts,21.0,1.0,Texans,7.0,0.0,6.0,3.0,1,10,6,11,5,2018-01-05 00:00:00,5.0,5.0,0.5,11.0,30.2,13.6,20.8
2024,Week 18,FINAL,SUN,01/05,Commanders,23.0,1.0,Cowboys,19.0,0.0,0.0,0.0,0,12,5,7,10,2024-01-05 00:00:00,6.0,5.0,0.5,24.8,24.0,16.6,35.0
2018,Wild Card,FINAL,SAT,01/05,Seahawks,22.0,0.0,Cowboys,24.0,1.0,5.0,4.0,1,10,6,10,6,2018-01-05 00:00:00,5.0,5.0,0.5,21.2,12.4,20.0,24.0
2024,Week 18,FINAL,SUN,01/05,Seahawks,30.0,1.0,Rams,25.0,0.0,0.0,0.0,0,10,7,10,7,2024-01-05 00:00:00,5.0,5.0,0.5,30.2,24.6,22.8,26.6
2024,Week 18,FINAL,SUN,01/05,Giants,13.0,0.0,Eagles,20.0,1.0,0.0,0.0,0,3,14,14,3,2024-01-05 00:00:00,5.0,5.0,0.5,22.6,31.0,18.0,22.4
2024,Week 18,FINAL,SUN,01/05,Jaguars,23.0,0.0,Colts,26.0,1.0,0.0,0.0,0,4,13,8,9,2024-01-05 00:00:00,5.0,5.0,1.0,21.6,24.8,20.6,23.6
2024,Week 18,FINAL,SUN,01/05,Bears,24.0,1.0,Packers,22.0,0.0,0.0,0.0,0,5,12,11,6,2024-01-05 00:00:00,5.0,5.0,1.0,27.0,23.4,24.2,15.2
2024,Week 18,FINAL,SUN,01/05,Texans,23.0,1.0,Titans,14.0,0.0,0.0,0.0,0,10,7,3,14,2024-01-05 00:00:00,5.0,5.0,1.0,18.4,24.6,19.0,20.4
2024,Week 18,FINAL,SUN,01/05,Panthers,44.0,1.0,Falcons,38.0,0.0,0.0,0.0,0,5,12,8,9,2024-01-05 00:00:00,5.0,5.0,0.5,18.2,18.6,12.6,23.0
2024,Week 18,FINAL,SUN,01/05,Bills,16.0,0.0,Patriots,23.0,1.0,0.0,0.0,0,13,4,4,13,2024-01-05 00:00:00,5.0,5.0,0.5,17.0,20.2,27.2,21.4
2019,Wild Card,FINAL,SUN,01/05,Vikings,26.0,1.0,Saints,20.0,0.0,6.0,3.0,1,10,6,13,3,2019-01-05 00:00:00,6.0,6.0,0.5,19.0,19.4,19.0,19.0
2017,Wild Card,FINAL,SAT,01/06,Falcons,26.0,1.0,Rams,13.0,0.0,6.0,3.0,1,10,6,11,5,2017-01-06 00:00:00,7.0,7.0,0.5,0.0,0.0,0.0,0.0
2023,Week 18,FINAL,SAT,01/06,Steelers,17.0,1.0,Ravens,10.0,0.0,0.0,0.0,0,10,7,13,4,2023-01-06 00:00:00,13.0,13.0,0.0,14.6,14.6,18.8,15.0
2017,Wild Card,FINAL,SAT,01/06,Titans,22.0,1.0,Chiefs,21.0,0.0,5.0,4.0,1,9,7,10,6,2017-01-06 00:00:00,7.0,7.0,0.5,0.0,0.0,0.0,0.0
